DATA;CORO 1;CORO 2;ASTRA 1;ASTRA 2;SAUDE 1;SAUDE 2;EDUC 1;EDUC 2;IDOSO 1;IDOSO 2;CORMOB 1;CORMOB 2;MOTOR-COBRADORES 1;MOTOR-COBRADORES 2;;;;;;;;;;;
01/abr;20482;9732;4220;0;6685;4359;0;0;17844;5422;0;0;0;0;;;;;;;;;;;
05/abr;22212;11892;4220;0;6686;4367;0;0;17853;5717;0;0;0;0;;;;;;;;;;;17259
06/abr;22212;11892;4220;0;6688;4378;0;0;19519;6753;0;0;0;0;;;;;;;;;;;17259
07/abr;22212;11892;4220;0;6688;4385;0;0;19520;7356;0;0;0;0;;;;;;;;;;;17259
08/abr;23972;11892;4220;0;6688;4385;0;0;19520;7356;0;0;0;0;;;;;;;;;;;17264
09/abr;23972;15712;4220;0;6688;4385;0;0;19520;7356;0;0;0;0;;;;;;;;;;;
12/abr;23972;15712;4220;0;6688;4447;0;0;19543;10652;0;0;0;0;;;;;;;;;;;
13/abr;23972;15712;4220;0;6688;4447;1106;0;19543;10762;0;0;0;0;;;;;;;;;;;
14/abr;23972;15712;4220;0;6688;4447;1431;0;19545;10762;0;0;0;0;;;;;;;;;;;
15/abr;23972;20492;6160;0;6688;4447;1431;0;21151;10762;0;0;0;0;;;;;;;;;;;
16/abr;23972;20492;6160;0;6688;4460;1431;0;21173;12357;0;0;0;0;;;;;;;;;;;
19/abr;23972;20492;6160;0;6688;4469;1431;0;21191;14022;0;0;0;0;;;;;;;;;;;
20/abr;23972;20492;10390;2300;6688;4471;1431;0;21191;14920;0;0;0;0;;;;;;;;;;;
22/abr;26182;20492;10390;2300;6939;5111;1431;0;21191;14920;0;0;0;0;;;;;;;;;;;
23/abr;26182;20492;10390;2300;6939;5418;1431;0;23017;14920;0;0;0;0;;;;;;;;;;;
26/abr;26182;20492;10390;2300;6939;5486;1431;0;24937;15398;0;0;0;0;;;;;;;;;;;
27/abr;26182;20492;10390;2300;6939;5529;1431;0;26720;15440;0;0;0;0;;;;;;;;;;;
28/abr;26182;22222;12690;2300;6939;5600;1431;0;26721;15440;0;0;0;0;;;;;;;;;;;
29/abr;26182;22222;12690;2300;6939;5664;1431;0;28786;15461;0;0;0;0;;;;;;;;;;;
30/abr;26182;22222;12690;2300;6939;5740;1431;0;28831;17047;0;0;0;0;;;;;;;;;;;
03/mai;26182;22222;12690;2300;6940;5813;1431;0;28996;17259;0;0;0;0;;;;;;;;;;;
04/mai;26182;22222;20445;2300;6940;5828;1431;0;28996;17259;0;0;0;0;;;;;;;;;;;
05/mai;26182;23542;20445;2300;6940;5854;1431;0;31098;17259;0;0;0;0;;;;;;;;;;;
06/mai;26182;23542;20445;2300;6940;5896;1431;0;33286;17264;0;0;0;0;;;;;;;;;;;
07/mai;26182;23542;20445;2300;6940;5911;1431;0;35577;17264;0;0;0;0;;;;;;;;;;;
10/mai;26182;23982;25889;2300;7126;5924;1434;0;35582;17303;0;0;0;0;;;;;;;;;;;
11/mai;26182;23982;25889;2300;7129;5930;1434;1409;35693;17303;203;0;0;0;;;;;;;;;;;
12/mai;26182;23982;25889;2300;7129;5936;1434;1413;35789;17324;309;0;0;0;;;;;;;;;;;
13/mai;26182;23982;25889;2300;7129;5949;1434;1414;35935;17346;1391;0;0;0;;;;;;;;;;;
14/mai;26182;23982;25889;4220;7129;5956;1434;1414;36021;17373;2819;0;0;0;;;;;;;;;;;
17/mai;26182;26192;30449;4220;7131;5977;1434;1415;36239;17396;6811;0;0;0;;;;;;;;;;;
19/mai;26182;26192;30579;4220;7141;6501;1435;1415;36296;17416;7310;0;0;0;;;;;;;;;;;
20/mai;26182;26192;30579;4220;7165;6504;1435;1418;36296;18363;7341;0;0;0;;;;;;;;;;;
21/mai;26182;26192;30579;4220;7190;6506;1436;1418;36301;18364;7374;0;0;0;;;;;;;;;;;
24/mai;26742;29402;34344;4220;7200;6663;1436;1421;36469;18500;10663;0;319;0;;;;;;;;;;;
25/mai;26742;29402;34344;4220;7200;6726;1436;1421;36472;18755;10715;0;319;0;;;;;;;;;;;
26/mai;26742;29402;34344;4220;7206;6779;1436;1421;36479;19160;10820;0;319;0;;;;;;;;;;;
27/mai;26742;29402;34344;4220;7206;6780;1436;1421;36486;19167;10844;0;319;0;;;;;;;;;;;
28/mai;26742;29402;38189;4220;7458;6780;1436;1422;36486;19170;10848;1;375;0;;;;;;;;;;;
31/mai;26742;29402;38189;4220;7633;6797;1437;1422;36589;19519;14004;1;404;0;;;;;;;;;;;
01/jun;26742;29402;38189;4220;7645;6819;1437;1428;36641;19709;14384;1;404;0;;;;;;;;;;;
02/jun;26742;29402;43894;4220;7661;6830;1552;1431;36658;19910;14502;1;404;0;;;;;;;;;;;
04/jun;26742;29402;43894;4220;7665;6841;1552;1432;36687;20112;15977;2;404;0;;;;;;;;;;;
