DATA;CORO 1;T_CORO 1;CORO 2;T_CORO 2;ASTRA 1;T_ASTRA 1;ASTRA 2;T_ASTRA 2;SAUDE 1;T_SAUDE 1;SAUDE 2;T_SAUDE 2;EDUC 1;T_EDUC 1;EDUC 2;T_EDUC 2;IDOSO 1;T_IDOSO 1;IDOSO 2;T_IDOSO 2;CORMOB 1;T_CORMOB 1;CORMOB 2;T_CORMOB 2;MOTOR-COBRADORES 1;MOTOR-COBRADORES 1;MOTOR-COBRADORES 2;MOTOR-COBRADORES 2;;;;;;;;;;;
01/abr;0;20482;0;9.732;0;4.220;0;0;0;6.685;0;4.359;0;0;0;0;0;17.844;0;5.422;0;0;0;0;0;0;0;0;;;;;;;;;;;
05/abr;1730;22212;2160;11.892;0;4.220;0;0;1;6.686;8;4.367;0;0;0;0;9;17.853;295;5.717;0;0;0;0;0;0;0;0;;;;;;;;;;;17259
06/abr;0;22212;0;11.892;0;4.220;0;0;2;6.688;11;4.378;0;0;0;0;1666;19.519;1036;6.753;0;0;0;0;0;0;0;0;;;;;;;;;;;17259
07/abr;0;22212;0;11.892;0;4.220;0;0;0;6.688;7;4.385;0;0;0;0;1;19.520;603;7.356;0;0;0;0;0;0;0;0;;;;;;;;;;;17259
08/abr;1760;23972;0;11.892;0;4.220;0;0;0;6.688;0;4.385;0;0;0;0;0;19.520;0;7.356;0;0;0;0;0;0;0;0;;;;;;;;;;;17264
09/abr;0;23972;3820;15.712;0;4.220;0;0;0;6.688;0;4.385;0;0;0;0;0;19.520;0;7.356;0;0;0;0;0;0;0;0;;;;;;;;;;;
12/abr;0;23972;0;15.712;0;4.220;0;0;0;6.688;62;4.447;0;0;0;0;23;19.543;3296;10.652;0;0;0;0;0;0;0;0;;;;;;;;;;;
13/abr;0;23972;0;15.712;0;4.220;0;0;0;6.688;0;4.447;1106;1.106;0;0;0;19.543;110;10.762;0;0;0;0;0;0;0;0;;;;;;;;;;;
14/abr;0;23972;0;15.712;0;4.220;0;0;0;6.688;0;4.447;325;1.431;0;0;2;19.545;0;10.762;0;0;0;0;0;0;0;0;;;;;;;;;;;
15/abr;0;23972;4780;20.492;1940;6.160;0;0;0;6.688;0;4.447;0;1.431;0;0;1606;21.151;0;10.762;0;0;0;0;0;0;0;0;;;;;;;;;;;
